timestamp,open,high,low,close,volume,vpin,vpin_regime,garch_mu,garch_vol,garch_signal,svm_pred,svm_decision
2026-09-01 11:45:00+05:30,24053.71,24061.2,24045.85,24059.81,32369.0,0.4691,NORMAL_TOXICITY,2e-05,0.4334,HOLD,0,APPROVED
2026-09-01 11:46:00+05:30,24059.81,24072.98,24057.64,24071.33,23504.0,0.4575,NORMAL_TOXICITY,1.7e-05,0.431,HOLD,0,APPROVED
2026-09-01 11:47:00+05:30,24071.33,24191.55,24062.42,24168.14,63235.0,0.4803,NORMAL_TOXICITY,-6.6e-05,0.4466,HOLD,0,APPROVED
2026-09-01 11:48:00+05:30,24168.14,24184.13,24116.66,24133.36,31452.0,0.4705,NORMAL_TOXICITY,0.000116,0.4468,HOLD,0,APPROVED
2026-09-01 11:49:00+05:30,24133.36,24153.04,24130.97,24133.12,24949.0,0.4704,NORMAL_TOXICITY,4.9e-05,0.4446,HOLD,0,APPROVED
2026-09-01 11:50:00+05:30,24133.12,24146.13,24100.28,24113.46,29644.0,0.4627,NORMAL_TOXICITY,8e-05,0.4432,HOLD,0,APPROVED
2026-09-01 11:51:00+05:30,24113.46,24146.7,24093.43,24110.6,23088.0,0.4627,NORMAL_TOXICITY,4.7e-05,0.441,HOLD,0,APPROVED
2026-09-01 11:52:00+05:30,24110.6,24144.87,24096.28,24118.04,34173.0,0.4475,NORMAL_TOXICITY,3.1e-05,0.4388,HOLD,0,APPROVED
2026-09-01 11:53:00+05:30,24118.04,24125.52,24106.11,24122.3,29431.0,0.4386,NORMAL_TOXICITY,3.8e-05,0.4365,HOLD,0,APPROVED
2026-09-01 11:54:00+05:30,24122.3,24124.15,24110.66,24118.69,34082.0,0.4343,NORMAL_TOXICITY,5.2e-05,0.4343,HOLD,0,APPROVED
2026-09-01 11:55:00+05:30,24118.69,24120.48,24050.13,24067.96,31831.0,0.4438,NORMAL_TOXICITY,0.00012,0.4375,HOLD,0,APPROVED
2026-09-01 11:56:00+05:30,24067.96,24079.08,24034.76,24072.15,21888.0,0.436,NORMAL_TOXICITY,2.3e-05,0.4352,HOLD,0,APPROVED
2026-09-01 11:57:00+05:30,24072.15,24130.18,24058.51,24120.0,16519.0,0.436,NORMAL_TOXICITY,-4.1e-05,0.437,HOLD,0,APPROVED
2026-09-01 11:58:00+05:30,24120.0,24201.02,24111.4,24186.75,34242.0,0.4424,NORMAL_TOXICITY,-1.7e-05,0.4422,HOLD,0,APPROVED
2026-09-01 11:59:00+05:30,24186.75,24221.3,24176.72,24193.07,30181.0,0.4416,NORMAL_TOXICITY,5.6e-05,0.4401,HOLD,0,APPROVED
2026-09-01 12:00:00+05:30,24193.07,24231.01,24192.9,24230.43,33067.0,0.4405,NORMAL_TOXICITY,3.4e-05,0.44,HOLD,0,APPROVED
2026-09-01 12:01:00+05:30,24230.43,24232.21,24217.69,24222.2,26765.0,0.4305,NORMAL_TOXICITY,8e-05,0.4381,HOLD,0,APPROVED
